symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
WEC,2024-08-27,88.35,88.67,87.89,88.05,1134140
WEC,2024-08-28,88.39,89.16,87.93,88.22,1995102
WEC,2024-08-29,88.15,88.32,87.36,88.2,1449147
WEC,2024-08-30,88.14,88.75,88.14,88.45,2336820
WEC,2024-09-03,88.45,89.57,88.34,89.02,1998100
WEC,2024-09-04,89.21,90.31,89.02,89.88,1471306
WEC,2024-09-05,90.32,90.71,89.78,90.02,2515800
WEC,2024-09-06,90.18,90.4,89.04,89.04,1591733
WEC,2024-09-09,89.15,90.28,89.03,90.19,1827530
WEC,2024-09-10,90.26,91.41,90.18,90.84,2167500
WEC,2024-09-11,90.6,90.7,89.69,90.52,1988418
WEC,2024-09-12,90.46,90.9,89.49,90.33,1607500
WEC,2024-09-13,90.55,91.15,90.07,91.13,1841901
WEC,2024-09-16,91.46,91.88,91.15,91.4,1671590
WEC,2024-09-17,91.29,91.54,90.65,91.02,1946665
WEC,2024-09-18,90.84,91.21,90.01,90.55,1575100
WEC,2024-09-19,89.84,90.17,88.87,89.16,2141600
WEC,2024-09-20,89.57,90.17,89.16,90.05,3283300
WEC,2024-09-23,90.29,90.79,90.05,90.49,1531700
WEC,2024-09-24,89.92,90.97,89.52,89.88,3039900
WEC,2024-09-25,90.49,90.62,89.32,89.94,1283900
WEC,2024-09-26,89.34,90.64,89.34,89.95,1973034
WEC,2024-09-27,90.23,90.97,89.91,90.57,1308100
WEC,2024-09-30,91.01,91.63,90.09,91.44,2119700
WEC,2024-10-01,91.65,92.29,90.97,91.98,2384236
WEC,2024-10-02,91.18,91.81,90.89,91.52,2538138
WEC,2024-10-03,91.79,91.79,91.17,91.56,1417400
WEC,2024-10-04,90.56,91.0,90.16,90.78,1460839
WEC,2024-10-07,90.47,90.48,89.09,89.5,1804985
WEC,2024-10-08,90.15,90.54,89.41,89.7,1577881
WEC,2024-10-09,89.7,90.33,89.27,89.66,3126015
WEC,2024-10-10,89.95,90.29,89.26,89.32,3258014
WEC,2024-10-11,89.71,90.86,89.37,90.75,1766600
WEC,2024-10-14,90.97,91.63,90.6,91.56,1401746
WEC,2024-10-15,92.28,93.21,92.06,92.43,2376210
WEC,2024-10-16,92.82,94.05,92.46,93.88,2533504
WEC,2024-10-17,94.17,94.44,93.4,94.26,2100800
WEC,2024-10-18,94.55,95.06,93.82,94.93,2059714
WEC,2024-10-21,95.05,95.37,94.24,94.53,1632421
WEC,2024-10-22,94.34,94.54,93.41,93.83,1527856
WEC,2024-10-23,93.96,94.67,93.7,94.63,1430300
WEC,2024-10-24,94.59,94.95,93.59,93.94,2253848
WEC,2024-10-25,94.39,94.47,92.31,92.4,1695501
WEC,2024-10-28,92.41,93.07,92.04,92.22,1369400
WEC,2024-10-29,91.63,91.81,90.54,90.63,1654500
WEC,2024-10-30,91.15,91.47,90.29,91.3,2989747
WEC,2024-10-31,91.88,92.5,90.58,90.82,3471810
WEC,2024-11-01,93.72,93.72,90.4,90.86,3176919
WEC,2024-11-04,90.65,91.29,89.51,90.23,2500424
WEC,2024-11-05,90.26,91.43,89.81,91.37,2268119
WEC,2024-11-06,90.54,91.68,89.76,91.28,2846700
WEC,2024-11-07,91.28,91.69,90.47,90.63,2501118
WEC,2024-11-08,91.18,92.97,90.75,92.78,2485149
