symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
WH,2024-08-27,74.25,74.89,73.66,74.48,375137
WH,2024-08-28,74.26,74.71,73.9,73.96,362339
WH,2024-08-29,74.69,75.06,74.03,74.58,494943
WH,2024-08-30,74.98,76.21,74.87,76.09,807925
WH,2024-09-03,75.95,76.29,75.12,75.39,541400
WH,2024-09-04,75.15,75.78,74.49,74.69,392046
WH,2024-09-05,74.88,75.09,74.11,74.49,355200
WH,2024-09-06,74.92,75.31,74.63,74.82,518200
WH,2024-09-09,74.93,75.6,74.67,75.08,600400
WH,2024-09-10,75.11,75.25,73.71,74.22,514000
WH,2024-09-11,73.72,74.98,73.39,74.77,528300
WH,2024-09-12,75.13,75.83,74.82,75.17,469343
WH,2024-09-13,75.61,76.8,75.4,75.88,534000
WH,2024-09-16,76.03,76.55,75.12,75.7,542600
WH,2024-09-17,76.08,76.36,75.54,76.04,531900
WH,2024-09-18,76.77,77.38,75.99,76.6,664000
WH,2024-09-19,77.57,77.83,76.86,77.83,588000
WH,2024-09-20,77.65,77.99,76.91,77.14,1766600
WH,2024-09-23,77.35,77.64,76.43,77.09,514226
WH,2024-09-24,77.37,78.03,77.34,77.97,426600
WH,2024-09-25,78.03,78.19,76.43,76.48,456725
WH,2024-09-26,76.75,78.71,76.36,78.49,692013
WH,2024-09-27,78.88,79.33,78.39,78.49,903310
WH,2024-09-30,78.14,78.35,75.45,75.92,990200
WH,2024-10-01,76.31,76.64,75.2,75.69,486000
WH,2024-10-02,75.2,76.61,74.95,76.3,439600
WH,2024-10-03,75.44,75.85,74.85,75.62,457400
WH,2024-10-04,76.42,76.78,75.84,76.61,391617
WH,2024-10-07,76.67,77.17,74.78,74.99,516200
WH,2024-10-08,75.31,76.43,74.62,75.8,686849
WH,2024-10-09,75.91,77.48,75.91,77.0,625303
WH,2024-10-10,76.76,78.02,76.76,77.31,821435
WH,2024-10-11,77.59,79.68,77.59,79.44,873667
WH,2024-10-14,79.47,79.84,78.57,79.01,906400
WH,2024-10-15,79.03,80.36,78.74,78.96,841728
WH,2024-10-16,79.44,79.92,79.02,79.62,532220
WH,2024-10-17,79.62,80.42,79.37,80.37,719700
WH,2024-10-18,80.47,80.78,79.9,80.37,1031628
WH,2024-10-21,79.76,80.49,79.54,80.34,1104000
WH,2024-10-22,80.7,81.01,79.99,81.01,1355900
WH,2024-10-23,80.66,80.8,78.55,79.1,1330509
WH,2024-10-24,83.44,87.72,83.38,87.46,2088125
WH,2024-10-25,87.43,89.31,87.21,88.05,1355800
WH,2024-10-28,87.86,88.3,86.42,86.73,1125003
WH,2024-10-29,86.95,87.12,85.74,86.73,822641
WH,2024-10-30,86.6,87.25,85.63,86.42,629325
WH,2024-10-31,86.43,87.12,85.67,85.81,619900
WH,2024-11-01,85.9,86.0,85.06,85.51,600700
WH,2024-11-04,85.96,87.21,85.61,86.23,959531
WH,2024-11-05,86.1,87.04,85.51,86.66,696900
WH,2024-11-06,89.95,92.9,89.75,92.71,1245809
WH,2024-11-07,92.12,92.93,91.74,92.37,802000
WH,2024-11-08,92.15,93.39,92.15,93.19,686500
WH,2024-11-11,94.13,94.87,93.34,94.36,874100
WH,2024-11-12,94.84,95.92,94.47,95.76,896100
WH,2024-11-13,94.81,95.53,94.36,94.39,966200
WH,2024-11-14,94.88,94.88,93.55,93.94,667036
WH,2024-11-15,94.35,94.53,93.24,94.04,682400
WH,2024-11-18,93.2,93.43,92.58,92.76,499700
WH,2024-11-19,92.15,92.46,91.32,91.84,567100
WH,2024-11-20,91.84,92.22,91.21,92.0,505405
WH,2024-11-21,92.23,94.43,91.76,93.65,563318
WH,2024-11-22,93.86,94.54,93.37,93.94,520400
WH,2024-11-25,94.63,95.76,94.41,94.91,743100
WH,2024-11-26,95.59,95.99,94.86,95.24,728200
WH,2024-11-27,95.25,96.02,94.38,94.83,1081500
