symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
WM,2024-12-05,219.36,219.57,218.31,219.16,1185037
WM,2024-12-06,220.17,220.99,217.74,218.07,1787864
WM,2024-12-09,217.05,218.71,212.8,213.44,1652621
WM,2024-12-10,214.4,214.4,211.87,212.07,2098397
WM,2024-12-11,212.58,212.92,209.54,210.54,1676605
WM,2024-12-12,211.08,212.06,210.03,210.47,1425915
WM,2024-12-13,210.38,210.76,208.28,209.25,1344400
WM,2024-12-16,209.89,210.82,207.54,207.71,1480900
WM,2024-12-17,207.38,208.0,204.21,205.12,3161695
WM,2024-12-18,205.12,205.47,201.34,201.62,1945800
WM,2024-12-19,201.21,204.03,200.76,201.72,2454308
WM,2024-12-20,202.56,203.45,200.66,202.01,3685714
WM,2024-12-23,201.39,201.92,198.25,200.02,1710211
WM,2024-12-24,199.5,201.64,198.67,201.57,711500
WM,2024-12-26,200.46,202.15,200.32,201.22,736761
WM,2024-12-27,200.21,201.99,199.25,200.24,878700
WM,2024-12-30,198.46,199.31,197.54,198.52,1209700
WM,2024-12-31,198.72,198.78,197.14,198.05,1549027
WM,2025-01-02,199.11,199.25,195.99,196.82,1818342
WM,2025-01-03,196.78,198.75,196.63,197.91,1123500
WM,2025-01-06,197.29,198.28,196.47,198.02,1335896
WM,2025-01-07,198.45,200.05,198.29,199.62,2016883
WM,2025-01-08,200.37,203.1,199.96,202.75,2005215
WM,2025-01-10,203.16,205.79,202.43,203.41,2564700
WM,2025-01-13,202.83,203.71,201.2,203.68,1459335
WM,2025-01-14,202.98,203.87,201.3,203.33,1350075
WM,2025-01-15,204.7,205.1,202.74,204.14,1655482
WM,2025-01-16,203.96,207.44,203.86,207.1,1589365
WM,2025-01-17,207.88,209.29,206.9,207.78,1663813
WM,2025-01-21,208.9,209.72,207.59,208.98,1864413
WM,2025-01-22,208.49,208.91,205.84,207.52,2149300
WM,2025-01-23,207.74,208.26,205.68,206.2,1296200
WM,2025-01-24,206.27,206.62,205.06,205.55,1185154
WM,2025-01-27,207.61,210.01,206.64,209.7,1593441
WM,2025-01-28,209.99,210.26,208.62,209.69,2430900
WM,2025-01-29,209.0,209.94,205.54,205.66,2159008
WM,2025-01-30,211.49,218.59,210.73,218.3,3163300
WM,2025-01-31,217.49,218.32,215.59,216.17,1947694
WM,2025-02-03,214.85,221.7,214.46,219.57,2118100
WM,2025-02-04,218.0,219.94,217.58,218.02,2213831
WM,2025-02-05,219.45,220.95,218.86,220.6,1394793
WM,2025-02-06,220.47,221.48,219.38,220.75,1151275
WM,2025-02-07,220.71,222.0,219.75,220.74,1308459
WM,2025-02-10,220.59,221.97,219.44,221.9,1077921
WM,2025-02-11,221.89,222.68,220.89,222.54,1297821
WM,2025-02-12,221.54,224.17,221.32,223.18,1503556
WM,2025-02-13,223.11,224.22,221.03,223.38,1146756
WM,2025-02-14,223.9,226.11,223.36,223.51,1206935
WM,2025-02-18,219.82,225.34,219.82,224.11,1693001
WM,2025-02-19,224.75,224.96,222.95,224.28,1256228
WM,2025-02-20,224.02,225.27,222.14,224.87,1189759
WM,2025-02-21,224.25,224.25,222.3,223.8,1709198
WM,2025-02-24,222.43,226.35,222.25,225.42,1670362
WM,2025-02-25,226.2,228.13,225.68,226.47,1931642
WM,2025-02-26,224.71,226.67,223.52,224.45,1065511
WM,2025-02-27,223.88,226.63,223.3,225.35,1209840
WM,2025-02-28,225.73,228.72,225.44,228.46,2399770
WM,2025-03-03,229.25,231.43,227.95,229.44,1920228
WM,2025-03-04,229.96,231.0,225.27,225.69,2205403
WM,2025-03-05,223.88,226.78,223.47,226.12,1620797
WM,2025-03-06,224.78,225.69,219.8,221.77,1800813
WM,2025-03-07,220.01,225.63,219.98,225.29,1906125
WM,2025-03-10,223.72,227.93,222.09,223.54,2270518
WM,2025-03-11,223.77,223.98,219.48,220.05,1797926
WM,2025-03-12,220.83,221.19,218.55,218.73,1264203
WM,2025-03-13,218.09,219.91,217.07,219.06,1612712
WM,2025-03-14,219.08,221.77,217.81,221.51,1219431
WM,2025-03-17,221.53,225.3,220.91,224.79,1915938
WM,2025-03-18,223.95,224.94,221.49,222.5,1306151
WM,2025-03-19,222.5,224.62,221.65,223.97,1238700
WM,2025-03-20,223.69,225.06,221.81,223.51,1009083
