symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
WOOD,2024-12-05,78.94,78.96,78.69,78.69,3716
WOOD,2024-12-06,79.03,79.03,78.36,78.53,4632
WOOD,2024-12-09,79.39,79.62,79.13,79.2,4400
WOOD,2024-12-10,78.81,78.81,77.89,78.07,7220
WOOD,2024-12-11,78.27,78.36,77.86,78.36,5300
WOOD,2024-12-12,78.1,78.15,77.67,78.15,7100
WOOD,2024-12-13,77.73,77.73,76.84,77.0,9231
WOOD,2024-12-16,77.0,77.27,76.86,76.86,6800
WOOD,2024-12-17,76.96,77.04,76.49,76.67,4300
WOOD,2024-12-18,76.21,76.25,73.62,73.65,17700
WOOD,2024-12-19,73.58,73.64,73.01,73.01,10639
WOOD,2024-12-20,73.18,74.31,73.18,74.21,7724
WOOD,2024-12-23,73.69,74.48,73.53,74.48,13136
WOOD,2024-12-24,74.46,74.93,74.46,74.7,4703
WOOD,2024-12-26,74.39,74.94,74.39,74.73,8248
WOOD,2024-12-27,74.7,75.0,74.35,74.73,8300
WOOD,2024-12-30,74.5,74.52,73.88,74.43,23800
WOOD,2024-12-31,74.14,74.64,74.11,74.44,7000
WOOD,2025-01-02,74.64,74.7,74.24,74.34,4311
WOOD,2025-01-03,74.62,74.74,74.34,74.34,5000
WOOD,2025-01-06,74.8,75.56,74.8,75.05,7500
WOOD,2025-01-07,75.22,75.22,74.22,74.22,5700
WOOD,2025-01-08,73.43,73.95,72.81,73.84,662800
WOOD,2025-01-10,74.94,76.31,73.0,73.19,359400
WOOD,2025-01-13,73.2,74.18,73.17,74.18,12532
WOOD,2025-01-14,74.19,74.46,74.16,74.16,9405
WOOD,2025-01-15,75.08,75.12,74.72,75.11,9300
WOOD,2025-01-16,75.05,75.61,74.68,75.22,19700
WOOD,2025-01-17,75.65,76.51,75.65,76.23,5900
WOOD,2025-01-21,76.78,77.82,76.78,77.82,15000
WOOD,2025-01-22,77.26,77.26,76.78,76.78,11200
WOOD,2025-01-23,76.91,77.53,76.91,77.36,10000
