symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
WRB,2024-08-27,56.0,56.32,55.76,56.23,965337
WRB,2024-08-28,56.3,56.61,55.91,56.25,1298822
WRB,2024-08-29,56.36,56.88,55.83,56.81,859579
WRB,2024-08-30,56.68,57.22,56.6,57.17,1935906
WRB,2024-09-03,57.03,58.29,56.65,57.96,1380085
WRB,2024-09-04,58.04,58.69,57.62,58.02,1436812
WRB,2024-09-05,58.19,58.19,56.17,56.52,2041225
WRB,2024-09-06,56.53,57.05,56.2,56.21,1362816
WRB,2024-09-09,56.57,57.3,56.17,56.87,1734153
WRB,2024-09-10,57.03,57.18,55.97,56.02,1350900
WRB,2024-09-11,55.9,55.98,54.32,54.69,1615580
WRB,2024-09-12,54.78,55.42,54.56,55.34,1213300
WRB,2024-09-13,55.4,55.92,55.4,55.87,1015300
WRB,2024-09-16,56.21,56.86,55.99,56.26,1421402
WRB,2024-09-17,56.27,56.65,55.56,55.67,3442700
WRB,2024-09-18,55.91,56.01,55.29,55.36,1807500
WRB,2024-09-19,55.46,55.57,54.77,55.09,1492619
WRB,2024-09-20,54.73,55.31,54.6,55.02,5837141
WRB,2024-09-23,55.25,55.67,54.99,55.33,1573019
WRB,2024-09-24,54.9,55.18,54.39,54.57,1399138
WRB,2024-09-25,54.85,54.89,54.12,54.32,1735600
WRB,2024-09-26,54.16,54.76,53.84,54.63,1569412
WRB,2024-09-27,54.43,54.87,54.3,54.44,1274635
WRB,2024-09-30,54.5,54.68,53.75,54.65,2287900
WRB,2024-10-01,54.47,55.27,54.08,55.16,2586400
WRB,2024-10-02,55.05,55.59,54.8,55.51,2643217
WRB,2024-10-03,55.52,55.64,54.64,55.06,1766015
WRB,2024-10-04,55.18,56.57,55.04,56.36,1434972
WRB,2024-10-07,55.83,56.03,53.96,54.41,2528702
WRB,2024-10-08,54.64,55.61,54.22,55.36,2107111
WRB,2024-10-09,55.13,56.16,55.13,55.86,1442622
WRB,2024-10-10,56.84,56.95,55.68,55.97,1469042
WRB,2024-10-11,56.32,56.79,56.13,56.42,1040500
WRB,2024-10-14,56.2,57.26,55.95,57.09,1629500
WRB,2024-10-15,57.13,57.78,56.63,56.76,1827164
WRB,2024-10-16,56.84,57.36,56.67,57.1,1574251
WRB,2024-10-17,58.24,59.04,58.03,58.8,2536800
WRB,2024-10-18,58.97,59.34,58.49,59.01,7725215
WRB,2024-10-21,59.24,59.69,58.78,58.79,3249600
