symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
WTRG,2024-08-27,37.14,37.28,36.87,36.94,724524
WTRG,2024-08-28,37.0,37.45,36.86,37.0,1295221
WTRG,2024-08-29,36.98,37.0,36.4,36.6,1500800
WTRG,2024-08-30,36.74,37.02,36.48,36.99,1873241
WTRG,2024-09-03,36.78,37.31,36.66,37.1,1463931
WTRG,2024-09-04,37.12,37.35,36.92,37.31,1445106
WTRG,2024-09-05,37.68,37.71,37.16,37.22,1030800
WTRG,2024-09-06,37.35,37.44,36.72,36.87,1380500
WTRG,2024-09-09,36.81,37.05,36.54,36.96,1474600
WTRG,2024-09-10,37.1,37.87,37.01,37.69,1316900
WTRG,2024-09-11,37.57,37.68,36.68,37.02,1590306
WTRG,2024-09-12,37.0,37.23,36.48,36.49,1263600
WTRG,2024-09-13,36.68,37.32,36.54,37.31,1004200
WTRG,2024-09-16,37.52,37.84,37.39,37.45,1538500
WTRG,2024-09-17,37.53,37.65,37.19,37.25,842918
WTRG,2024-09-18,37.2,37.21,36.68,36.75,1124529
WTRG,2024-09-19,36.58,36.65,36.25,36.35,2285500
WTRG,2024-09-20,36.44,36.44,35.74,36.05,4843422
WTRG,2024-09-23,36.33,36.6,36.09,36.33,2265720
WTRG,2024-09-24,36.06,36.52,36.02,36.03,1437732
WTRG,2024-09-25,36.13,36.24,35.64,36.12,1514400
WTRG,2024-09-26,36.03,36.58,35.97,36.16,1265522
WTRG,2024-09-27,36.43,36.71,36.33,36.43,848400
WTRG,2024-09-30,36.36,36.62,36.13,36.59,1145238
WTRG,2024-10-01,36.62,36.7,36.3,36.36,1324000
WTRG,2024-10-02,36.3,36.9,36.14,36.73,1761400
WTRG,2024-10-03,36.75,36.78,36.44,36.7,1434702
WTRG,2024-10-04,36.44,36.75,36.14,36.29,2242346
WTRG,2024-10-07,36.25,36.37,35.69,36.27,1475231
WTRG,2024-10-08,36.36,36.49,36.18,36.34,1218500
WTRG,2024-10-09,36.2,36.77,36.17,36.62,1321800
WTRG,2024-10-10,36.53,36.56,36.28,36.48,1369400
WTRG,2024-10-11,36.55,37.2,36.41,37.15,1231078
WTRG,2024-10-14,37.28,37.94,37.23,37.85,1278000
WTRG,2024-10-15,38.11,38.62,37.95,38.3,1285410
WTRG,2024-10-16,38.51,38.7,38.18,38.4,1305500
WTRG,2024-10-17,38.3,38.39,37.99,38.02,787837
WTRG,2024-10-18,38.05,38.54,37.78,38.47,1412848
WTRG,2024-10-21,38.47,38.67,38.09,38.31,713600
WTRG,2024-10-22,38.0,38.49,37.88,38.41,774036
WTRG,2024-10-23,38.45,38.74,38.04,38.22,1540559
WTRG,2024-10-24,38.26,38.42,37.39,37.41,1214158
WTRG,2024-10-25,37.67,37.67,36.79,36.85,1143500
WTRG,2024-10-28,37.07,37.41,36.97,37.15,1082400
WTRG,2024-10-29,36.83,37.06,36.53,36.53,1195200
WTRG,2024-10-30,36.7,37.49,36.41,36.75,2073700
WTRG,2024-10-31,36.79,36.98,36.53,36.62,1574974
WTRG,2024-11-01,36.81,36.86,36.22,36.28,1792403
WTRG,2024-11-04,36.86,37.11,36.48,36.65,1823671
WTRG,2024-11-05,37.27,38.1,36.72,38.06,1710300
WTRG,2024-11-06,37.82,38.94,37.82,38.28,2532000
WTRG,2024-11-07,37.89,37.89,36.51,37.09,2010100
WTRG,2024-11-08,37.2,37.82,37.11,37.64,1923247
WTRG,2024-11-11,37.76,38.04,37.52,37.74,1424657
WTRG,2024-11-12,37.64,37.94,37.33,37.35,1011327
WTRG,2024-11-13,37.45,37.56,36.74,36.85,1299206
WTRG,2024-11-14,37.01,37.22,36.55,36.59,1065400
WTRG,2024-11-15,36.68,37.08,36.48,36.92,965732
WTRG,2024-11-18,36.82,37.23,36.77,37.12,1156900
WTRG,2024-11-19,37.19,37.42,36.92,37.25,1015747
WTRG,2024-11-20,37.29,37.51,37.08,37.25,768720
WTRG,2024-11-21,37.25,37.76,37.2,37.65,1026149
WTRG,2024-11-22,37.83,38.12,37.61,37.81,1261000
WTRG,2024-11-25,37.97,38.59,37.97,38.36,4679348
WTRG,2024-11-26,38.41,38.41,37.85,38.3,1099513
WTRG,2024-11-27,38.58,38.88,38.42,38.53,1193734
WTRG,2024-11-29,38.4,38.6,38.24,38.29,638545
WTRG,2024-12-02,38.31,38.53,37.87,38.44,1742500
WTRG,2024-12-03,38.58,38.71,37.92,37.94,1062300
WTRG,2024-12-04,37.74,37.93,37.36,37.47,1171503
WTRG,2024-12-05,37.53,37.72,37.39,37.61,894231
WTRG,2024-12-06,37.59,37.61,37.02,37.25,1129900
WTRG,2024-12-09,37.14,37.52,37.07,37.14,944022
WTRG,2024-12-10,37.0,37.57,36.53,37.38,996300
WTRG,2024-12-11,37.23,37.37,36.85,36.94,1293948
WTRG,2024-12-12,36.93,37.52,36.85,37.38,1440238
WTRG,2024-12-13,37.01,37.2,36.82,37.01,868300
WTRG,2024-12-16,37.04,37.43,36.65,36.68,1586207
WTRG,2024-12-17,36.54,36.88,36.25,36.34,1494313
WTRG,2024-12-18,36.19,36.36,34.62,34.66,1896577
WTRG,2024-12-19,34.65,35.13,34.35,34.61,1630100
WTRG,2024-12-20,34.58,34.99,34.48,34.78,5381223
WTRG,2024-12-23,34.69,34.77,34.21,34.67,1134900
WTRG,2024-12-24,34.6,34.83,34.45,34.82,456812
WTRG,2024-12-26,34.74,35.09,34.58,35.02,755142
WTRG,2024-12-27,34.82,35.22,34.74,34.87,663400
WTRG,2024-12-30,34.64,34.82,34.3,34.64,885400
WTRG,2024-12-31,34.85,34.97,34.43,34.74,857300
WTRG,2025-01-02,34.91,35.04,34.37,34.47,940725
WTRG,2025-01-03,34.53,34.79,34.43,34.59,749500
WTRG,2025-01-06,34.42,34.57,33.81,33.9,1228169
WTRG,2025-01-07,33.76,34.2,33.6,33.74,1434412
WTRG,2025-01-08,33.48,33.74,33.2,33.48,1577242
WTRG,2025-01-10,33.25,33.49,32.57,32.6,1849500
WTRG,2025-01-13,32.59,32.6,31.73,32.27,2168449
WTRG,2025-01-14,32.36,32.75,32.31,32.63,1816325
