symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
WULF,2024-08-27,4.67,4.74,4.29,4.51,14901600
WULF,2024-08-28,4.41,4.61,4.1,4.18,14550748
WULF,2024-08-29,4.27,4.44,4.09,4.2,13996426
WULF,2024-08-30,4.29,4.38,4.15,4.36,11138025
WULF,2024-09-03,4.26,4.26,3.79,3.82,14604501
WULF,2024-09-04,3.78,4.01,3.59,3.91,15264002
WULF,2024-09-05,4.11,4.3,3.99,4.21,18765400
WULF,2024-09-06,4.23,4.35,3.66,3.73,20716600
WULF,2024-09-09,3.95,4.03,3.78,3.99,19097900
WULF,2024-09-10,4.01,4.24,3.86,4.24,10585800
WULF,2024-09-11,4.11,4.54,3.99,4.42,15488800
WULF,2024-09-12,4.44,4.58,4.3,4.31,13789500
WULF,2024-09-13,4.32,4.43,4.16,4.24,21821033
WULF,2024-09-16,4.02,4.1,3.77,3.94,15778607
WULF,2024-09-17,4.05,4.39,4.04,4.07,16381900
WULF,2024-09-18,4.0,4.39,3.99,4.06,16978600
WULF,2024-09-19,4.34,4.8,4.28,4.46,28677300
WULF,2024-09-20,4.47,4.67,4.36,4.5,28316100
WULF,2024-09-23,4.72,5.01,4.66,4.89,25384500
WULF,2024-09-24,4.87,5.4,4.56,5.37,31988600
WULF,2024-09-25,5.31,5.43,5.08,5.14,19824020
WULF,2024-09-26,5.32,5.39,4.93,5.07,20843900
WULF,2024-09-27,5.18,5.19,4.82,4.94,17438100
WULF,2024-09-30,4.77,4.81,4.57,4.68,18435041
WULF,2024-10-01,4.68,4.7,4.25,4.33,16441500
WULF,2024-10-02,4.24,4.52,4.18,4.36,12721900
WULF,2024-10-03,4.3,4.72,4.3,4.71,13479642
WULF,2024-10-04,4.85,4.86,4.36,4.4,27288541
WULF,2024-10-07,4.35,4.43,3.9,4.03,31975022
WULF,2024-10-08,4.0,4.15,3.88,3.91,13959313
WULF,2024-10-09,3.88,3.92,3.76,3.82,15026100
WULF,2024-10-10,4.01,4.07,3.8,3.93,19327300
WULF,2024-10-11,3.95,4.32,3.94,4.21,19384100
WULF,2024-10-14,4.32,4.57,4.22,4.49,17866800
WULF,2024-10-15,4.45,4.7,4.3,4.61,15434200
WULF,2024-10-16,4.68,5.23,4.61,5.2,24485546
WULF,2024-10-17,5.05,5.35,4.97,5.07,19117241
WULF,2024-10-18,5.12,5.29,4.98,5.24,20021410
WULF,2024-10-21,5.22,6.23,5.06,6.21,58975400
WULF,2024-10-22,6.13,6.55,5.96,6.53,26070100
WULF,2024-10-23,6.34,6.58,5.99,6.4,23597411
WULF,2024-10-24,6.28,6.54,5.84,6.21,91942931
WULF,2024-10-25,6.24,6.7,6.13,6.38,40360421
WULF,2024-10-28,6.73,7.28,6.69,6.85,40475425
WULF,2024-10-29,7.07,7.14,6.41,6.69,28696900
WULF,2024-10-30,6.57,7.15,6.49,6.89,20709110
WULF,2024-10-31,6.67,6.76,6.21,6.52,23443747
WULF,2024-11-01,6.67,6.92,6.1,6.2,21453700
WULF,2024-11-04,6.08,6.17,5.89,5.98,17127022
WULF,2024-11-05,6.11,6.49,6.03,6.21,20077500
WULF,2024-11-06,7.06,7.68,6.8,7.67,48372100
WULF,2024-11-07,7.6,8.33,7.36,8.21,31774516
WULF,2024-11-08,8.18,8.4,7.82,8.25,26344700
WULF,2024-11-11,8.73,9.12,8.32,8.82,38343404
WULF,2024-11-12,8.44,8.68,8.12,8.53,32684300
WULF,2024-11-13,8.75,9.3,7.32,7.35,42084645
WULF,2024-11-14,7.48,7.54,6.89,6.95,23966400
WULF,2024-11-15,7.1,7.25,6.74,7.18,24264300
WULF,2024-11-18,7.11,7.61,6.82,7.04,20135800
WULF,2024-11-19,7.0,7.55,6.83,7.38,19273434
WULF,2024-11-20,7.63,7.86,7.02,7.2,24229833
WULF,2024-11-21,7.45,7.56,6.54,6.99,28215909
WULF,2024-11-22,6.86,7.54,6.6,7.45,25855300
WULF,2024-11-25,7.63,7.64,6.86,6.99,29742201
WULF,2024-11-26,6.93,7.1,6.44,6.57,26507404
WULF,2024-11-27,6.82,7.37,6.71,7.29,22596506
WULF,2024-11-29,7.35,8.05,7.33,7.89,18343900
WULF,2024-12-02,7.89,8.19,7.3,7.32,21557246
WULF,2024-12-03,7.11,7.39,7.01,7.27,13218900
WULF,2024-12-04,7.36,8.15,7.13,8.12,23470200
WULF,2024-12-05,8.22,8.44,7.68,7.71,27329533
WULF,2024-12-06,7.92,8.98,7.9,8.12,32676000
WULF,2024-12-09,8.05,8.06,7.19,7.29,26129041
