symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
WYNN,2024-12-05,93.76,94.73,93.25,93.3,1357894
WYNN,2024-12-06,94.25,94.77,93.2,93.27,1026539
WYNN,2024-12-09,95.87,98.46,94.63,94.82,2691027
WYNN,2024-12-10,93.59,95.27,92.6,93.84,1426951
WYNN,2024-12-11,94.14,94.52,93.08,94.1,1325700
WYNN,2024-12-12,93.47,94.26,92.3,92.38,1575700
WYNN,2024-12-13,91.8,94.31,91.57,93.43,1778040
WYNN,2024-12-16,92.16,92.67,88.43,88.63,3104300
WYNN,2024-12-17,88.64,91.55,88.4,90.89,2046400
WYNN,2024-12-18,90.88,91.86,87.19,87.66,2096048
WYNN,2024-12-19,89.56,89.56,86.34,87.28,1736900
WYNN,2024-12-20,87.07,89.09,87.02,87.91,2663406
WYNN,2024-12-23,87.92,88.37,86.73,87.08,1312445
WYNN,2024-12-24,87.1,88.17,86.36,87.74,692800
WYNN,2024-12-26,87.97,88.84,87.39,88.27,1218963
WYNN,2024-12-27,87.62,88.24,86.99,87.64,1086700
WYNN,2024-12-30,86.38,86.38,84.25,84.83,2180149
WYNN,2024-12-31,84.92,85.73,84.86,85.15,1612600
WYNN,2025-01-02,85.32,86.36,82.75,82.82,2002844
WYNN,2025-01-03,83.52,85.01,81.89,82.35,2807333
WYNN,2025-01-06,83.26,85.26,83.16,83.62,2923757
WYNN,2025-01-07,83.62,84.56,80.99,81.49,2195300
WYNN,2025-01-08,81.04,81.43,79.76,80.22,1862300
WYNN,2025-01-10,79.18,82.11,79.18,80.2,2655945
WYNN,2025-01-13,79.84,81.64,79.81,80.38,1850548
WYNN,2025-01-14,80.62,80.92,78.96,80.84,2773942
WYNN,2025-01-15,81.57,82.62,81.24,81.45,2264240
WYNN,2025-01-16,81.82,82.26,80.81,81.54,1844813
WYNN,2025-01-17,82.28,84.2,82.03,83.68,3339727
WYNN,2025-01-21,84.24,85.7,84.19,85.25,2617218
WYNN,2025-01-22,84.75,86.29,83.34,84.17,2862600
WYNN,2025-01-23,84.01,84.87,83.4,84.09,1746467
WYNN,2025-01-24,84.03,84.65,83.38,84.0,1418400
WYNN,2025-01-27,83.4,84.51,83.08,83.78,2268238
WYNN,2025-01-28,83.5,83.96,81.84,83.35,1919318
WYNN,2025-01-29,83.79,84.57,83.05,83.13,1559800
WYNN,2025-01-30,86.13,88.7,85.7,88.55,2790027
WYNN,2025-01-31,88.56,88.57,84.82,85.84,3614883
WYNN,2025-02-03,83.33,83.75,82.13,82.58,2721100
WYNN,2025-02-04,82.16,83.49,82.11,82.22,2555400
WYNN,2025-02-05,81.44,81.64,80.28,80.71,3798790
WYNN,2025-02-06,81.45,81.74,79.33,79.71,2458530
WYNN,2025-02-07,79.8,81.26,79.34,79.64,2255300
WYNN,2025-02-10,79.67,80.14,77.79,78.05,2620400
WYNN,2025-02-11,77.24,77.51,76.06,76.1,2137600
