symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
XLE,2024-12-06,44.05,44.06,43.31,43.39,26206628
XLE,2024-12-09,43.75,43.99,43.28,43.32,23627800
XLE,2024-12-10,43.57,43.63,42.96,43.03,23299828
XLE,2024-12-11,43.11,43.25,42.88,43.09,23147600
XLE,2024-12-12,43.02,43.09,42.7,42.75,21746294
XLE,2024-12-13,42.85,42.86,42.42,42.53,22346060
XLE,2024-12-16,42.42,42.42,41.57,41.6,25036200
XLE,2024-12-17,41.28,41.37,40.9,41.29,32011674
XLE,2024-12-18,41.18,41.37,40.07,40.07,39241224
XLE,2024-12-19,40.49,40.63,39.69,39.72,49988450
XLE,2024-12-20,39.72,40.25,39.61,40.11,35704810
XLE,2024-12-23,40.05,40.48,39.78,40.35,34445400
XLE,2024-12-24,40.46,40.76,40.19,40.68,15024200
XLE,2024-12-26,40.7,40.72,40.4,40.65,15386454
XLE,2024-12-27,40.61,41.08,40.44,40.64,20369800
XLE,2024-12-30,40.65,40.87,40.3,40.64,23545400
XLE,2024-12-31,40.74,41.29,40.65,41.17,21165070
XLE,2025-01-02,41.51,41.96,41.37,41.65,34887070
XLE,2025-01-03,41.91,42.18,41.73,42.05,22124068
XLE,2025-01-06,42.24,42.58,41.75,41.86,22835288
XLE,2025-01-07,42.16,42.6,41.9,42.27,25035800
XLE,2025-01-08,42.01,42.34,41.87,42.32,28483866
XLE,2025-01-10,42.86,43.36,42.26,42.49,34075800
XLE,2025-01-13,42.68,43.63,42.68,43.38,48896200
XLE,2025-01-14,43.31,43.89,43.24,43.85,31173006
XLE,2025-01-15,44.12,44.62,43.93,44.5,34657892
XLE,2025-01-16,44.35,44.87,44.3,44.82,25230602
XLE,2025-01-17,44.81,45.32,44.66,45.16,23899650
XLE,2025-01-21,45.05,45.18,44.7,44.93,49302056
XLE,2025-01-22,44.79,44.84,44.08,44.11,35880258
XLE,2025-01-23,44.45,44.62,44.01,44.32,29359200
XLE,2025-01-24,44.38,44.56,43.83,43.89,29156800
XLE,2025-01-27,43.74,43.81,43.13,43.43,31993400
XLE,2025-01-28,43.57,43.72,42.81,43.02,37401800
XLE,2025-01-29,42.91,43.33,42.85,43.11,20681800
XLE,2025-01-30,43.39,43.57,43.07,43.34,39092600
XLE,2025-01-31,43.22,43.31,42.02,42.12,44540036
XLE,2025-02-03,42.12,42.56,41.74,42.39,39816454
XLE,2025-02-04,42.19,43.38,42.13,43.28,40279818
XLE,2025-02-05,43.26,43.43,43.02,43.37,21772000
XLE,2025-02-06,43.57,43.68,42.35,42.58,41309624
XLE,2025-02-07,42.73,42.96,42.51,42.57,22568414
XLE,2025-02-10,42.95,43.58,42.95,43.51,25871400
XLE,2025-02-11,43.71,44.15,43.43,43.85,26226818
XLE,2025-02-12,43.5,43.8,42.72,42.8,38798800
XLE,2025-02-13,42.73,43.22,42.45,43.12,31550918
XLE,2025-02-14,43.29,43.91,43.29,43.3,25886492
XLE,2025-02-18,43.5,44.17,43.25,43.88,29574800
XLE,2025-02-19,44.07,44.64,44.05,44.23,24531244
XLE,2025-02-20,44.14,44.71,43.95,44.63,28332290
XLE,2025-02-21,44.36,44.49,43.68,43.71,31276604
XLE,2025-02-24,43.79,43.95,43.49,43.72,26295264
XLE,2025-02-25,43.71,43.92,42.74,43.09,26608672
XLE,2025-02-26,43.15,43.26,42.65,42.85,24305696
