symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
XLI,2023-05-15,94.13,94.96,93.8,94.63,8433600
XLI,2023-05-16,94.18,94.28,93.35,93.35,9416200
XLI,2023-05-17,93.94,95.27,93.89,94.96,12387400
XLI,2023-05-18,94.81,95.8,94.54,95.65,10813045
XLI,2023-05-19,96.39,96.48,94.93,95.42,10028252
XLI,2023-05-22,95.46,95.99,94.63,95.4,9038745
XLI,2023-05-23,94.98,95.24,94.09,94.25,11744727
XLI,2023-05-24,93.98,94.01,92.91,93.04,11654900
XLI,2023-05-25,93.1,93.57,92.51,93.34,14259326
XLI,2023-05-26,93.62,94.4,93.5,94.04,10790508
XLI,2023-05-30,94.18,94.41,93.43,93.9,9828302
XLI,2023-05-31,93.54,93.67,92.31,92.62,13021510
XLI,2023-06-01,92.83,94.01,92.52,93.8,12573724
XLI,2023-06-02,94.79,96.82,94.73,96.53,21451300
XLI,2023-06-05,96.73,96.73,95.74,95.86,10667738
XLI,2023-06-06,95.63,96.61,95.54,96.46,10509541
XLI,2023-06-07,96.52,98.08,96.18,98.01,13384323
XLI,2023-06-08,97.84,98.41,97.38,98.18,10074643
XLI,2023-06-09,98.2,98.26,97.28,97.92,9870982
XLI,2023-06-12,98.02,98.79,97.65,98.62,9906935
XLI,2023-06-13,98.8,99.86,98.68,99.77,14474163
XLI,2023-06-14,100.05,100.28,99.07,99.5,14953607
XLI,2023-06-15,99.46,101.2,99.4,101.0,12776600
XLI,2023-06-16,101.32,101.94,100.69,100.84,14448400
XLI,2023-06-20,100.2,100.48,99.7,100.09,9527540
XLI,2023-06-21,99.57,100.94,99.36,100.65,12206200
XLI,2023-06-22,100.27,100.38,99.75,99.92,11641830
XLI,2023-06-23,99.05,99.54,98.8,99.16,11246245
XLI,2023-06-26,99.12,100.17,98.99,99.98,7639200
XLI,2023-06-27,100.19,101.3,100.02,101.18,8210200
XLI,2023-06-28,101.21,101.38,100.83,101.18,7866645
XLI,2023-06-29,101.07,102.19,100.99,102.16,10236142
XLI,2023-06-30,102.79,103.33,102.35,103.04,11431400
XLI,2023-07-03,102.65,103.26,102.22,103.06,6786819
XLI,2023-07-05,102.42,102.85,102.16,102.5,9504777
XLI,2023-07-06,101.69,102.05,101.13,101.73,11209510
XLI,2023-07-07,101.43,102.94,101.4,101.96,9359547
XLI,2023-07-10,101.99,103.41,101.98,103.41,11765400
XLI,2023-07-11,103.65,104.78,103.62,104.63,10283418
XLI,2023-07-12,105.48,105.5,104.33,104.45,13492924
XLI,2023-07-13,104.54,104.82,104.15,104.58,8964900
XLI,2023-07-14,104.51,104.55,103.75,104.28,9288269
XLI,2023-07-17,104.09,105.02,103.85,104.67,6517827
XLI,2023-07-18,104.72,105.62,104.67,105.26,8098214
XLI,2023-07-19,105.01,105.52,104.59,105.21,8563500
XLI,2023-07-20,105.38,105.95,105.01,105.68,10643900
XLI,2023-07-21,105.56,105.79,105.16,105.18,8993437
XLI,2023-07-24,105.14,105.77,105.07,105.42,6754882
XLI,2023-07-25,104.46,105.37,104.25,105.28,8768435
XLI,2023-07-26,105.65,106.13,105.48,106.02,10555284
XLI,2023-07-27,106.06,106.06,104.84,105.11,11837837
XLI,2023-07-28,105.94,105.96,105.36,105.76,7466858
XLI,2023-07-31,105.89,106.17,105.61,106.01,6587320
XLI,2023-08-01,105.84,106.69,105.67,106.33,9004496
XLI,2023-08-02,105.73,106.19,105.04,105.22,9906031
XLI,2023-08-03,104.83,105.08,104.39,104.55,7991777
XLI,2023-08-04,104.96,105.03,103.76,103.92,10631148
XLI,2023-08-07,104.32,105.34,104.27,105.2,8462600
XLI,2023-08-08,104.56,104.92,103.85,104.72,7669100
XLI,2023-08-09,104.73,105.13,104.27,104.66,7881704
XLI,2023-08-10,104.8,105.56,104.14,104.37,7259255
XLI,2023-08-11,104.16,104.82,104.1,104.55,5720489
XLI,2023-08-14,104.46,104.64,104.17,104.58,6113073
XLI,2023-08-15,103.9,104.02,103.13,103.25,6911700
XLI,2023-08-16,103.05,103.88,102.58,102.67,10281134
XLI,2023-08-17,103.04,103.21,101.78,101.81,10867832
XLI,2023-08-18,101.21,102.33,101.15,102.0,10763929
XLI,2023-08-21,101.99,102.21,101.16,101.88,6464708
XLI,2023-08-22,102.2,102.45,101.4,101.64,8152808
XLI,2023-08-23,101.63,102.8,101.63,102.68,7643300
XLI,2023-08-24,102.28,103.01,101.39,101.43,9483808
XLI,2023-08-25,101.96,102.65,101.11,102.29,13142500
XLI,2023-08-28,102.78,103.47,102.75,103.12,7673900
XLI,2023-08-29,103.05,103.97,102.74,103.91,9326500
XLI,2023-08-30,104.03,104.73,103.96,104.38,7849616
XLI,2023-08-31,104.55,104.79,103.89,103.91,5593457
XLI,2023-09-01,104.63,104.79,104.03,104.46,7034227
XLI,2023-09-05,104.27,104.3,102.66,102.7,8452439
XLI,2023-09-06,102.4,103.03,101.68,102.26,8586633
XLI,2023-09-07,101.87,102.36,101.29,101.92,7561221
XLI,2023-09-08,101.97,102.09,101.21,101.42,6829536
XLI,2023-09-11,101.66,101.86,100.88,101.44,6308003
XLI,2023-09-12,100.93,101.65,100.82,101.08,8099500
XLI,2023-09-13,100.95,101.27,99.95,100.41,10646114
XLI,2023-09-14,101.03,101.42,100.8,101.4,10123900
XLI,2023-09-15,101.01,101.43,100.52,100.81,11446141
XLI,2023-09-18,100.8,101.5,100.59,100.92,6446704
XLI,2023-09-19,100.67,100.84,99.78,100.5,7360657
XLI,2023-09-20,101.07,101.54,100.04,100.1,8289916
XLI,2023-09-21,99.73,99.77,98.42,98.46,8931413
XLI,2023-09-22,98.27,98.75,98.07,98.12,10971237
XLI,2023-09-25,97.7,98.66,97.68,98.62,7355703
XLI,2023-09-26,97.98,98.29,96.99,97.11,11490558
XLI,2023-09-27,97.71,98.15,97.07,97.84,12676700
XLI,2023-09-28,97.77,98.93,97.64,98.25,9804841
XLI,2023-09-29,98.85,98.93,97.4,97.73,11042003
XLI,2023-10-02,97.44,97.71,96.33,96.77,11079233
XLI,2023-10-03,96.44,97.15,95.7,96.1,12055516
XLI,2023-10-04,96.07,96.58,95.35,96.41,11394500
XLI,2023-10-05,96.27,96.52,95.44,95.84,10336400
XLI,2023-10-06,95.47,97.71,95.14,97.15,13842700
XLI,2023-10-09,97.52,98.79,97.34,98.67,11059733
XLI,2023-10-10,99.07,99.86,98.67,99.27,9658289
XLI,2023-10-11,99.53,99.92,99.09,99.87,7806551
XLI,2023-10-12,100.17,100.17,98.21,98.96,8102200
XLI,2023-10-13,99.07,99.44,97.66,98.09,9605414
XLI,2023-10-16,98.98,99.68,98.6,99.13,8344100
XLI,2023-10-17,98.69,100.09,98.65,99.44,10707202
XLI,2023-10-18,98.78,98.83,96.88,97.04,13582700
XLI,2023-10-19,97.23,97.8,95.94,96.14,12535101
XLI,2023-10-20,96.25,96.44,95.11,95.15,13641093
XLI,2023-10-23,95.0,96.03,94.65,94.7,12076901
XLI,2023-10-24,95.91,96.08,94.99,95.42,9324414
XLI,2023-10-25,95.27,95.36,94.15,94.19,10996003
XLI,2023-10-26,94.25,94.92,93.74,93.8,15387400
XLI,2023-10-27,93.85,94.0,92.66,92.97,13062062
XLI,2023-10-30,93.58,94.44,93.22,94.12,11242837
XLI,2023-10-31,93.91,94.93,93.77,94.82,10540279
XLI,2023-11-01,94.92,95.32,94.27,95.13,14715342
XLI,2023-11-02,96.17,97.18,95.96,97.08,10739800
XLI,2023-11-03,97.97,98.47,97.89,97.94,10001212
XLI,2023-11-06,98.02,98.07,97.22,97.68,6899400
XLI,2023-11-07,97.02,97.59,96.78,97.44,7244512
XLI,2023-11-08,97.65,97.97,97.26,97.66,7494226
XLI,2023-11-09,98.28,98.44,97.27,97.45,12232900
