symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
XLK,2023-05-16,74.44,75.03,74.41,74.62,9398476
XLK,2023-05-17,74.93,75.75,74.59,75.61,11916612
XLK,2023-05-18,75.71,77.28,75.71,77.17,15491208
XLK,2023-05-19,77.19,77.32,76.87,77.13,9805102
XLK,2023-05-22,76.91,77.49,76.78,77.28,10794200
XLK,2023-05-23,76.89,77.21,76.1,76.13,11691000
XLK,2023-05-24,75.53,75.88,75.17,75.58,10925600
XLK,2023-05-25,77.59,78.78,77.18,78.47,18078000
XLK,2023-05-26,78.68,80.86,78.67,80.71,15160000
XLK,2023-05-30,81.89,82.31,80.97,81.14,18123690
XLK,2023-05-31,80.68,81.43,80.42,80.46,19301020
XLK,2023-06-01,80.2,81.62,79.94,81.28,17419456
XLK,2023-06-02,81.76,82.12,81.16,81.74,14270600
XLK,2023-06-05,81.69,82.24,81.13,81.27,12090638
XLK,2023-06-06,81.07,81.43,80.67,81.25,9975664
XLK,2023-06-07,81.1,81.73,79.87,80.04,13703800
XLK,2023-06-08,80.16,81.04,80.1,80.91,10667444
XLK,2023-06-09,81.3,82.14,81.04,81.31,14415564
XLK,2023-06-12,81.88,83.12,81.71,83.08,13792040
XLK,2023-06-13,83.83,83.98,82.91,83.59,16595880
XLK,2023-06-14,83.49,84.48,83.2,84.45,16769036
XLK,2023-06-15,84.11,85.92,84.09,85.54,17732672
XLK,2023-06-16,86.35,86.35,84.74,84.83,17366668
XLK,2023-06-20,84.35,84.87,83.81,84.26,14139162
XLK,2023-06-21,83.93,84.1,82.76,83.01,12058000
XLK,2023-06-22,82.64,83.73,82.63,83.69,15225170
XLK,2023-06-23,82.65,83.27,82.43,82.78,14729000
XLK,2023-06-26,82.85,83.57,82.12,82.18,10890262
XLK,2023-06-27,82.51,84.0,82.44,83.8,13833000
XLK,2023-06-28,83.34,84.3,83.27,83.85,11371684
XLK,2023-06-29,83.94,84.16,83.5,84.0,9128292
XLK,2023-06-30,84.83,85.55,84.77,85.33,11398444
XLK,2023-07-03,85.33,85.37,84.73,85.16,6182200
XLK,2023-07-05,84.56,85.27,84.49,84.63,9396398
XLK,2023-07-06,83.79,84.48,83.54,84.4,12116420
XLK,2023-07-07,84.27,85.05,83.99,84.04,11622510
XLK,2023-07-10,83.74,84.27,83.42,84.26,16877200
XLK,2023-07-11,84.43,84.53,83.62,84.44,9997360
XLK,2023-07-12,85.28,85.79,84.81,85.39,16104564
XLK,2023-07-13,85.98,86.7,85.8,86.51,9349222
XLK,2023-07-14,86.73,87.41,86.13,86.39,11543822
XLK,2023-07-17,86.54,87.74,86.44,87.48,11860560
XLK,2023-07-18,87.29,88.91,86.83,88.48,16406770
XLK,2023-07-19,88.7,89.06,87.92,88.26,20990000
XLK,2023-07-20,87.69,88.06,86.22,86.49,24356046
XLK,2023-07-21,87.04,87.48,86.34,86.45,14871416
XLK,2023-07-24,86.84,87.04,86.27,86.6,11308260
XLK,2023-07-25,86.88,87.88,86.86,87.59,10802206
XLK,2023-07-26,86.68,86.88,85.8,86.41,15501600
XLK,2023-07-27,87.58,87.85,85.78,86.17,13857000
XLK,2023-07-28,86.97,87.61,86.79,87.34,11287748
XLK,2023-07-31,87.41,87.65,87.04,87.54,10139704
XLK,2023-08-01,87.26,87.88,87.02,87.69,8848614
XLK,2023-08-02,86.91,86.97,85.21,85.52,15826848
XLK,2023-08-03,84.83,85.67,84.77,85.17,11321866
XLK,2023-08-04,84.88,85.39,83.88,84.01,14431800
XLK,2023-08-07,84.37,84.66,83.64,84.25,9536000
XLK,2023-08-08,83.66,83.71,82.77,83.6,11461802
XLK,2023-08-09,83.72,83.72,82.24,82.52,14301800
XLK,2023-08-10,83.15,83.87,82.13,82.53,12731400
XLK,2023-08-11,81.87,82.4,81.64,81.92,10772000
XLK,2023-08-14,81.84,83.23,81.64,83.22,10328006
XLK,2023-08-15,82.98,83.27,82.21,82.41,9366400
XLK,2023-08-16,82.23,82.7,81.61,81.62,9779464
XLK,2023-08-17,81.99,82.14,80.72,80.85,12614800
XLK,2023-08-18,80.03,81.3,79.98,80.97,13658668
XLK,2023-08-21,81.39,82.69,81.31,82.52,13132846
XLK,2023-08-22,83.25,83.3,82.24,82.42,11365560
XLK,2023-08-23,82.62,84.16,82.61,83.91,10113242
XLK,2023-08-24,84.96,84.97,81.91,81.98,13929000
XLK,2023-08-25,82.3,83.26,81.57,82.81,15686600
XLK,2023-08-28,83.44,83.67,82.84,83.49,8964298
XLK,2023-08-29,83.25,85.25,83.16,85.16,13713878
XLK,2023-08-30,85.18,85.9,84.89,85.81,12266660
XLK,2023-08-31,86.0,86.55,85.91,86.22,11963490
