symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
XMTR,2024-08-27,20.29,20.51,20.0,20.3,373100
XMTR,2024-08-28,20.15,20.44,19.43,20.08,514600
XMTR,2024-08-29,20.28,20.91,20.15,20.25,404000
XMTR,2024-08-30,20.51,20.64,19.16,19.64,297515
XMTR,2024-09-03,19.22,19.45,17.93,18.39,458400
XMTR,2024-09-04,18.37,19.12,18.18,18.65,340715
XMTR,2024-09-05,18.83,18.83,18.2,18.77,288200
XMTR,2024-09-06,18.87,19.22,17.6,17.62,594143
XMTR,2024-09-09,17.75,18.5,17.66,17.86,258831
XMTR,2024-09-10,17.89,17.93,17.35,17.51,282615
XMTR,2024-09-11,17.38,17.5,16.11,17.32,409808
XMTR,2024-09-12,17.26,17.94,17.07,17.75,399200
XMTR,2024-09-13,18.07,18.86,17.96,18.81,314100
XMTR,2024-09-16,18.63,19.16,18.07,18.5,346200
XMTR,2024-09-17,18.81,19.58,18.57,19.49,337400
XMTR,2024-09-18,19.54,19.8,18.9,19.26,310716
XMTR,2024-09-19,20.0,20.12,18.85,19.2,578839
XMTR,2024-09-20,19.17,19.61,18.89,18.9,672340
XMTR,2024-09-23,19.27,19.27,18.08,18.54,387400
XMTR,2024-09-24,18.8,19.0,18.39,18.74,323935
XMTR,2024-09-25,18.68,19.11,18.27,18.3,386809
XMTR,2024-09-26,18.74,18.99,18.26,18.51,274400
XMTR,2024-09-27,18.8,19.1,18.65,18.79,279442
XMTR,2024-09-30,18.57,19.0,18.2,18.37,226900
XMTR,2024-10-01,18.25,18.45,17.18,17.53,383900
XMTR,2024-10-02,17.32,18.13,17.11,17.62,357714
XMTR,2024-10-03,17.46,17.53,17.04,17.51,261700
XMTR,2024-10-04,18.01,18.05,17.19,17.39,328613
XMTR,2024-10-07,17.3,17.39,16.86,17.37,309211
XMTR,2024-10-08,17.39,17.56,17.19,17.26,221300
XMTR,2024-10-09,17.22,17.45,17.16,17.17,162345
XMTR,2024-10-10,16.83,17.46,16.26,17.41,335808
XMTR,2024-10-11,17.24,18.25,17.23,17.96,299391
XMTR,2024-10-14,18.08,18.87,17.1,18.81,364152
XMTR,2024-10-15,18.81,19.7,18.68,19.21,323537
XMTR,2024-10-16,19.72,21.0,19.42,20.8,860614
XMTR,2024-10-17,20.84,21.13,19.97,20.37,467300
XMTR,2024-10-18,20.55,21.49,20.54,20.9,1086726
XMTR,2024-10-21,20.91,21.71,20.46,21.04,481743
XMTR,2024-10-22,20.73,21.34,20.65,20.65,224957
XMTR,2024-10-23,20.52,20.67,19.72,19.99,587200
XMTR,2024-10-24,20.11,20.39,19.48,19.49,354800
XMTR,2024-10-25,19.74,19.89,19.15,19.4,170000
XMTR,2024-10-28,19.78,20.45,19.78,19.97,494500
XMTR,2024-10-29,19.8,20.64,19.41,20.46,327105
XMTR,2024-10-30,20.36,20.89,19.58,19.61,275945
XMTR,2024-10-31,19.63,19.9,19.16,19.68,257000
XMTR,2024-11-01,19.76,23.3,19.76,22.48,1169700
XMTR,2024-11-04,22.42,23.12,21.88,22.06,895300
XMTR,2024-11-05,23.12,27.09,21.27,25.84,1334654
XMTR,2024-11-06,27.76,31.24,27.33,30.62,1588718
XMTR,2024-11-07,30.0,30.63,28.72,30.6,1107860
XMTR,2024-11-08,30.6,31.3,29.76,30.59,702859
XMTR,2024-11-11,31.03,32.93,31.03,32.18,628448
XMTR,2024-11-12,30.08,31.87,30.0,31.34,347800
XMTR,2024-11-13,31.4,32.1,30.78,30.95,432800
XMTR,2024-11-14,31.5,31.5,29.16,29.59,590158
XMTR,2024-11-15,29.89,29.89,28.56,29.09,488916
XMTR,2024-11-18,29.41,30.4,29.08,29.71,354924
XMTR,2024-11-19,28.97,30.05,28.97,29.8,583402
XMTR,2024-11-20,29.5,30.0,29.07,29.65,729014
XMTR,2024-11-21,29.99,31.76,29.46,31.07,514525
XMTR,2024-11-22,31.08,32.35,30.61,31.4,608000
XMTR,2024-11-25,32.04,33.12,31.63,32.71,635905
XMTR,2024-11-26,32.6,32.67,31.15,31.26,338216
XMTR,2024-11-27,31.65,32.08,30.82,31.0,258200
XMTR,2024-11-29,30.86,31.62,30.77,31.05,260409
XMTR,2024-12-02,31.49,32.44,30.99,31.44,617239
XMTR,2024-12-03,31.35,32.18,30.58,32.0,305961
XMTR,2024-12-04,32.22,32.69,31.88,32.2,352002
XMTR,2024-12-05,32.15,32.59,31.14,31.52,326332
XMTR,2024-12-06,32.0,32.57,31.62,32.02,297400
XMTR,2024-12-09,33.51,35.34,32.07,32.82,576620
XMTR,2024-12-10,32.21,34.04,31.53,32.9,547947
XMTR,2024-12-11,33.57,35.2,32.09,34.77,576686
XMTR,2024-12-12,34.53,35.23,33.55,34.75,355507
XMTR,2024-12-13,34.8,35.29,33.15,34.76,556932
XMTR,2024-12-16,34.76,37.37,34.6,36.73,927038
XMTR,2024-12-17,36.73,37.73,36.1,37.22,507731
XMTR,2024-12-18,39.89,41.43,35.46,36.82,1740726
XMTR,2024-12-19,37.84,39.68,35.71,36.6,631819
XMTR,2024-12-20,36.36,42.0,36.35,41.67,1306800
XMTR,2024-12-23,41.67,42.22,40.13,42.12,1162100
XMTR,2024-12-24,42.44,44.19,41.9,43.7,505302
