symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
XRT,2024-12-05,81.98,82.06,81.07,81.08,4883431
XRT,2024-12-06,82.22,82.51,81.8,82.13,5304434
XRT,2024-12-09,82.67,83.13,82.03,82.05,4667000
XRT,2024-12-10,82.07,83.02,81.6,82.44,5274713
XRT,2024-12-11,82.66,83.19,82.5,82.8,4555800
XRT,2024-12-12,82.71,82.91,81.9,81.93,3966539
XRT,2024-12-13,82.22,82.22,81.21,81.78,4219400
XRT,2024-12-16,81.74,82.84,81.38,82.06,5076900
XRT,2024-12-17,81.8,82.13,81.2,81.35,4600832
XRT,2024-12-18,81.67,82.04,78.62,78.94,6516814
XRT,2024-12-19,79.88,80.27,78.53,78.82,6716900
XRT,2024-12-20,78.68,80.77,78.19,79.75,6690300
XRT,2024-12-23,79.51,79.88,78.85,79.26,5330723
XRT,2024-12-24,79.46,79.83,78.94,79.83,2572835
XRT,2024-12-26,79.61,80.97,79.41,80.93,3200897
XRT,2024-12-27,80.27,80.68,79.43,79.93,4452300
XRT,2024-12-30,79.04,79.07,78.13,78.68,6905521
XRT,2024-12-31,79.12,79.4,78.41,78.71,4136900
XRT,2025-01-02,79.23,79.85,78.07,78.49,4853757
XRT,2025-01-03,78.79,79.15,77.99,78.8,6869144
XRT,2025-01-06,79.37,79.83,78.94,79.1,6182811
XRT,2025-01-07,79.56,80.02,78.26,78.54,5115700
XRT,2025-01-08,78.26,78.47,77.39,78.4,6177352
XRT,2025-01-10,77.71,78.6,77.52,78.18,6490089
XRT,2025-01-13,77.59,77.66,76.53,77.42,5090300
XRT,2025-01-14,77.68,78.0,76.24,76.76,3519047
XRT,2025-01-15,78.38,78.71,77.37,77.51,4715600
XRT,2025-01-16,77.34,77.7,76.62,77.4,3454817
XRT,2025-01-17,78.18,78.2,77.47,77.57,4601400
XRT,2025-01-21,78.15,78.99,77.9,78.96,4112048
XRT,2025-01-22,78.72,78.99,78.2,78.28,3642800
XRT,2025-01-23,78.18,79.26,78.13,79.26,3974200
XRT,2025-01-24,79.26,79.74,79.05,79.45,3879500
XRT,2025-01-27,79.18,79.86,79.04,79.64,5228300
XRT,2025-01-28,79.63,80.25,79.42,80.06,4151409
XRT,2025-01-29,79.83,80.07,79.3,79.63,4135700
XRT,2025-01-30,80.23,81.08,80.23,80.79,4976400
XRT,2025-01-31,80.4,80.86,79.23,79.37,8098739
XRT,2025-02-03,77.6,78.74,77.01,77.97,7606015
XRT,2025-02-04,77.95,79.11,77.95,78.87,3714100
XRT,2025-02-05,78.96,79.42,78.74,79.39,2825100
XRT,2025-02-06,79.88,80.44,79.04,79.15,3331306
XRT,2025-02-07,78.93,79.09,77.41,77.41,6713600
XRT,2025-02-10,77.8,78.22,77.24,78.14,4264200
XRT,2025-02-11,77.75,78.03,77.4,78.0,3993800
XRT,2025-02-12,77.14,77.83,76.96,77.71,6007722
XRT,2025-02-13,78.4,78.89,78.03,78.65,6512112
XRT,2025-02-14,79.09,79.24,78.27,78.49,3059423
XRT,2025-02-18,78.64,78.89,78.06,78.44,3764500
XRT,2025-02-19,77.99,78.07,77.46,77.87,4566208
XRT,2025-02-20,77.46,77.48,76.36,76.87,5934104
XRT,2025-02-21,77.11,77.34,74.15,74.46,10893500
XRT,2025-02-24,74.94,75.16,73.8,74.7,6477140
XRT,2025-02-25,74.74,75.49,74.45,75.0,5946406
XRT,2025-02-26,74.94,75.35,74.05,74.11,5516400
XRT,2025-02-27,73.97,74.17,72.59,72.62,8230500
XRT,2025-02-28,72.64,73.39,72.31,73.32,6612307
XRT,2025-03-03,73.5,73.93,70.78,71.19,5419978
XRT,2025-03-04,70.28,71.13,69.06,70.04,8940719
XRT,2025-03-05,70.05,70.7,69.16,70.61,5735400
XRT,2025-03-06,69.86,71.31,69.72,70.17,10905100
XRT,2025-03-07,70.14,71.17,69.1,70.95,11020832
XRT,2025-03-10,70.12,70.63,69.17,69.7,8178400
XRT,2025-03-11,69.41,69.48,67.55,68.26,7285900
