symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
XSD,2024-12-05,257.94,257.94,251.92,252.3,20200
XSD,2024-12-06,253.85,257.14,253.62,256.7,15500
XSD,2024-12-09,256.65,261.64,256.65,258.43,60200
XSD,2024-12-10,258.93,258.93,250.79,251.97,81631
XSD,2024-12-11,256.31,260.53,254.0,258.94,73627
XSD,2024-12-12,256.35,257.96,255.49,256.42,49386
XSD,2024-12-13,261.52,263.01,258.14,261.65,18800
XSD,2024-12-16,262.13,265.1,260.25,264.07,31000
XSD,2024-12-17,262.19,262.19,257.25,258.23,32125
XSD,2024-12-18,260.24,262.62,244.59,246.77,61033
XSD,2024-12-19,248.87,248.87,243.16,244.09,35014
XSD,2024-12-20,241.62,250.91,241.62,247.44,33200
XSD,2024-12-23,249.16,253.88,249.16,253.74,26200
XSD,2024-12-24,255.2,256.98,253.31,256.76,11600
XSD,2024-12-26,254.95,260.08,254.7,258.85,18315
XSD,2024-12-27,257.42,257.42,252.87,255.26,18622
XSD,2024-12-30,250.6,251.93,247.1,249.41,27700
XSD,2024-12-31,250.67,252.07,246.69,247.54,71100
XSD,2025-01-02,250.81,254.26,248.08,251.13,41500
XSD,2025-01-03,253.22,258.17,252.67,257.85,49849
XSD,2025-01-06,262.85,267.99,262.85,263.81,38100
XSD,2025-01-07,266.5,268.1,258.89,259.49,29500
XSD,2025-01-08,257.03,257.03,252.08,255.01,23801
XSD,2025-01-10,252.07,252.07,247.08,249.1,20100
XSD,2025-01-13,244.24,246.98,243.32,246.84,23400
XSD,2025-01-14,250.27,250.44,245.86,248.63,22624
XSD,2025-01-15,255.28,258.05,253.3,256.93,31737
XSD,2025-01-16,259.06,259.44,254.8,254.8,37900
XSD,2025-01-17,260.83,263.53,260.07,263.42,16800
XSD,2025-01-21,265.98,269.14,263.21,267.43,44533
XSD,2025-01-22,269.79,272.23,268.42,268.42,226500
XSD,2025-01-23,265.09,269.09,263.69,269.09,15700
XSD,2025-01-24,268.29,268.29,261.82,262.58,34418
XSD,2025-01-27,250.9,250.9,237.35,240.45,347925
XSD,2025-01-28,242.67,243.03,237.11,242.04,155700
XSD,2025-01-29,242.55,245.31,240.97,243.26,35300
XSD,2025-01-30,245.79,248.16,244.48,247.41,21300
XSD,2025-01-31,249.13,254.51,246.77,247.83,26915
XSD,2025-02-03,239.3,245.89,238.07,243.18,41440
XSD,2025-02-04,242.77,247.01,242.76,247.01,18500
XSD,2025-02-05,247.36,253.32,245.94,252.91,39109
XSD,2025-02-06,248.83,250.08,244.18,246.02,50400
XSD,2025-02-07,247.24,247.32,239.02,241.36,45908
XSD,2025-02-10,241.09,241.09,237.55,238.95,22838
XSD,2025-02-11,236.89,240.59,236.88,236.88,31401
XSD,2025-02-12,233.47,237.66,233.47,237.58,43015
XSD,2025-02-13,238.31,241.27,238.31,240.88,27510
XSD,2025-02-14,241.61,243.14,240.79,243.01,20638
XSD,2025-02-18,244.98,251.48,244.98,251.13,85639
XSD,2025-02-19,251.07,255.72,250.07,253.9,29502
XSD,2025-02-20,255.64,255.64,251.0,254.25,14600
XSD,2025-02-21,255.1,255.48,244.58,245.71,22300
XSD,2025-02-24,246.49,246.49,239.33,239.4,52500
XSD,2025-02-25,238.49,238.56,232.43,232.54,39400
XSD,2025-02-26,235.46,239.25,235.06,237.03,23579
XSD,2025-02-27,239.11,239.11,221.48,221.48,45500
XSD,2025-02-28,221.06,226.49,219.19,225.85,46732
XSD,2025-03-03,230.51,230.51,215.33,217.13,79845
XSD,2025-03-04,214.93,223.19,212.29,217.64,63200
XSD,2025-03-05,218.48,222.39,214.75,222.11,46629
XSD,2025-03-06,215.49,221.22,213.98,214.65,69200
XSD,2025-03-07,215.37,222.7,213.46,222.1,28215
XSD,2025-03-10,216.67,216.94,208.13,210.81,106105
XSD,2025-03-11,210.93,211.98,204.4,208.42,47528
XSD,2025-03-12,213.43,215.03,209.52,211.24,26928
XSD,2025-03-13,211.42,214.98,207.87,209.99,30600
XSD,2025-03-14,214.81,218.48,214.45,218.29,40509
XSD,2025-03-17,217.74,224.13,217.74,222.24,65000
XSD,2025-03-18,219.95,220.44,217.46,218.79,21834
XSD,2025-03-19,218.89,223.47,218.89,221.24,25205
XSD,2025-03-20,218.24,221.19,217.29,217.92,53937
XSD,2025-03-21,214.01,217.64,212.78,216.64,21534
XSD,2025-03-24,221.98,225.25,221.98,223.85,34049
XSD,2025-03-25,223.3,223.96,222.29,222.77,17400
XSD,2025-03-26,222.02,222.02,214.32,216.3,36900
XSD,2025-03-27,213.46,214.4,210.12,210.99,60708
XSD,2025-03-28,208.17,208.17,200.01,201.54,31057
XSD,2025-03-31,196.71,200.47,193.26,200.21,37995
XSD,2025-04-01,199.39,201.39,197.24,201.02,68433
XSD,2025-04-02,197.05,206.94,197.05,203.67,42118
XSD,2025-04-03,192.16,192.16,179.21,179.44,71932
XSD,2025-04-04,171.49,171.49,160.65,166.85,191623
XSD,2025-04-07,159.83,178.3,156.57,169.9,124100
XSD,2025-04-08,177.77,177.77,156.34,160.18,65408
XSD,2025-04-09,160.98,192.85,160.33,191.97,100245
XSD,2025-04-10,182.12,182.56,169.12,174.13,61118
XSD,2025-04-11,172.36,176.84,169.52,176.28,36306
XSD,2025-04-14,182.49,183.4,175.37,178.49,42548
XSD,2025-04-15,178.49,181.08,177.12,178.06,30100
XSD,2025-04-16,171.25,173.81,166.63,172.45,51000
XSD,2025-04-17,173.26,173.26,169.78,172.32,38400
XSD,2025-04-21,168.5,169.46,166.13,169.18,29221
XSD,2025-04-22,171.71,174.92,171.66,173.22,35150
XSD,2025-04-23,182.75,186.0,179.71,180.24,70920
XSD,2025-04-24,184.88,192.53,184.88,191.75,57300
XSD,2025-04-25,189.59,194.85,189.59,194.14,18100
XSD,2025-04-28,193.73,196.44,190.43,194.06,22500
XSD,2025-04-29,191.96,193.56,190.95,191.02,99700
XSD,2025-04-30,185.43,192.53,184.91,192.42,22937
XSD,2025-05-01,196.06,198.31,194.15,194.81,35122
XSD,2025-05-02,199.6,205.58,199.6,203.53,60926
XSD,2025-05-05,201.31,203.32,200.54,201.42,26200
XSD,2025-05-06,198.02,200.37,196.3,199.3,28251
XSD,2025-05-07,198.93,201.41,196.27,201.18,29045
XSD,2025-05-08,205.56,209.37,203.51,206.62,36500
XSD,2025-05-09,209.03,211.96,207.8,210.11,32317
XSD,2025-05-12,224.96,228.89,224.2,227.03,78600
XSD,2025-05-13,228.41,234.41,228.13,233.69,39822
XSD,2025-05-14,235.55,237.25,232.76,235.37,40546
XSD,2025-05-15,232.87,234.37,230.52,234.06,44536
XSD,2025-05-16,235.59,235.59,233.29,234.94,29900
XSD,2025-05-19,228.38,232.08,227.62,231.81,34900
XSD,2025-05-20,230.68,232.33,229.36,231.97,29427
XSD,2025-05-21,228.98,231.92,222.83,224.36,41238
XSD,2025-05-22,225.82,228.2,224.23,225.78,28900
XSD,2025-05-23,218.96,223.71,218.96,222.53,39004
XSD,2025-05-27,228.29,231.12,225.54,229.57,22712
XSD,2025-05-28,230.17,230.17,226.74,226.88,15123
XSD,2025-05-29,232.16,232.16,225.79,226.41,20046
XSD,2025-05-30,224.15,224.15,216.95,220.52,86723
XSD,2025-06-02,220.2,224.24,220.12,223.76,22500
XSD,2025-06-03,225.76,232.37,225.05,231.83,36438
XSD,2025-06-04,233.8,237.02,232.56,235.81,34864
XSD,2025-06-05,236.93,237.63,230.64,231.93,131100
XSD,2025-06-06,235.98,236.89,234.27,234.65,34687
XSD,2025-06-09,237.19,242.97,237.19,240.52,66234
XSD,2025-06-10,242.91,246.32,242.89,245.11,42599
XSD,2025-06-11,247.6,249.65,243.51,244.94,22612
XSD,2025-06-12,243.01,246.11,243.01,244.44,48100
XSD,2025-06-13,238.81,241.37,236.5,236.59,119219
XSD,2025-06-16,240.84,246.47,240.84,245.08,36749
XSD,2025-06-17,241.58,244.96,241.11,241.34,63200
XSD,2025-06-18,242.89,247.66,242.2,244.8,154900
XSD,2025-06-20,247.58,247.58,240.37,243.53,44628
XSD,2025-06-23,242.36,244.67,238.23,243.84,26744
XSD,2025-06-24,247.94,253.66,247.94,253.38,109043
XSD,2025-06-25,255.36,255.36,251.24,253.93,46100
XSD,2025-06-26,256.33,257.85,254.61,257.34,30100
XSD,2025-06-27,258.32,258.65,252.97,255.66,53720
XSD,2025-06-30,258.04,258.06,255.33,256.08,40547
XSD,2025-07-01,253.95,258.81,250.9,255.78,67500
XSD,2025-07-02,255.77,261.71,255.77,261.37,38000
XSD,2025-07-03,263.72,265.7,263.05,264.64,36900
XSD,2025-07-07,262.08,262.11,256.74,257.54,56742
XSD,2025-07-08,259.77,265.43,259.77,263.08,69621
XSD,2025-07-09,264.27,266.78,261.32,265.98,56922
XSD,2025-07-10,268.12,268.56,264.99,267.04,34401
XSD,2025-07-11,264.8,265.38,263.47,264.19,25000
XSD,2025-07-14,262.69,262.74,258.15,261.34,40710
XSD,2025-07-15,266.46,267.04,262.18,262.18,39959
XSD,2025-07-16,262.59,264.75,257.5,264.62,44776
XSD,2025-07-17,264.74,269.44,264.08,268.49,28400
XSD,2025-07-18,270.14,270.87,267.78,270.06,42350
XSD,2025-07-21,272.46,276.09,271.13,271.15,31200
XSD,2025-07-22,269.76,270.84,262.56,267.25,84900
XSD,2025-07-23,266.3,266.73,263.99,266.67,27234
XSD,2025-07-24,267.47,267.47,263.53,265.16,16220
XSD,2025-07-25,264.16,265.28,262.95,265.01,34847
XSD,2025-07-28,267.77,269.8,267.6,269.8,30900
XSD,2025-07-29,272.14,274.18,267.51,268.54,21066
XSD,2025-07-30,272.17,272.31,267.42,269.87,28919
XSD,2025-07-31,270.35,272.46,262.83,264.9,105623
XSD,2025-08-01,259.25,264.11,254.39,261.25,105200
XSD,2025-08-04,263.52,267.37,262.69,267.11,43419
XSD,2025-08-05,269.16,270.83,263.03,265.68,23500
XSD,2025-08-06,266.41,267.14,263.83,267.12,13700
XSD,2025-08-07,270.09,270.09,264.32,267.12,75024
XSD,2025-08-08,268.28,269.92,266.85,269.65,40500
XSD,2025-08-11,270.54,272.58,268.05,268.74,84100
XSD,2025-08-12,271.12,281.36,271.12,281.31,57782
XSD,2025-08-13,283.48,286.12,281.36,285.71,65800
XSD,2025-08-14,280.6,285.33,278.82,284.41,54328
XSD,2025-08-15,284.35,284.35,278.5,280.32,78224
XSD,2025-08-18,280.33,283.33,279.53,283.17,85433
XSD,2025-08-19,283.02,283.02,274.56,275.14,29300
XSD,2025-08-20,273.55,273.9,266.55,273.43,44600
XSD,2025-08-21,271.58,274.56,271.58,274.02,27844
XSD,2025-08-22,274.77,287.97,274.05,285.55,60843
XSD,2025-08-25,284.84,284.93,282.71,282.83,38400
XSD,2025-08-26,284.29,288.92,284.29,287.42,29800
XSD,2025-08-27,286.58,289.39,285.69,288.25,47512
XSD,2025-08-28,291.5,294.43,290.03,292.79,31964
XSD,2025-08-29,291.84,292.38,284.62,285.7,38141
XSD,2025-09-02,278.26,282.28,275.53,282.28,47000
XSD,2025-09-03,282.95,283.19,278.31,281.54,57100
XSD,2025-09-04,281.9,286.36,279.74,286.22,88704
XSD,2025-09-05,290.55,291.7,285.72,289.13,65503
XSD,2025-09-08,291.37,293.48,290.38,292.77,108007
XSD,2025-09-09,293.29,294.01,291.41,293.65,68309
XSD,2025-09-10,298.06,298.5,294.53,296.37,68100
XSD,2025-09-11,299.23,300.59,298.09,299.14,69545
XSD,2025-09-12,300.09,300.29,297.88,298.25,69200
XSD,2025-09-15,298.68,303.68,298.5,302.66,30855
XSD,2025-09-16,303.38,306.22,302.07,305.53,97227
XSD,2025-09-17,305.55,310.64,303.25,307.89,42900
XSD,2025-09-18,315.99,322.29,315.41,320.29,128561
XSD,2025-09-19,320.4,320.4,314.18,318.18,43122
XSD,2025-09-22,317.79,324.22,317.79,323.15,94549
XSD,2025-09-23,324.59,325.01,319.3,322.02,118229
XSD,2025-09-24,322.62,322.62,317.42,319.56,55700
XSD,2025-09-25,313.31,318.31,308.5,317.54,34700
XSD,2025-09-26,317.99,319.09,314.59,317.78,84200
XSD,2025-09-29,321.67,321.67,315.11,315.68,35000
XSD,2025-09-30,315.68,319.11,313.86,318.74,71300
XSD,2025-10-01,315.59,320.1,315.59,319.56,122700
XSD,2025-10-02,325.06,329.49,324.47,328.65,63056
XSD,2025-10-03,331.76,334.06,327.07,329.48,55337
XSD,2025-10-06,337.86,339.59,335.12,336.38,91255
XSD,2025-10-07,340.02,341.57,328.45,329.79,130600
XSD,2025-10-08,330.08,338.97,330.08,338.75,49609
XSD,2025-10-09,338.49,338.66,333.66,338.66,29300
XSD,2025-10-10,339.22,341.04,315.06,315.23,100632
XSD,2025-10-13,327.3,339.21,326.09,338.52,122067
XSD,2025-10-14,333.63,346.09,329.77,339.04,84727
XSD,2025-10-15,347.16,349.58,339.59,349.32,68024
XSD,2025-10-16,351.71,352.82,343.22,347.36,77344
XSD,2025-10-17,341.64,345.97,338.23,342.76,35684
XSD,2025-10-20,345.82,354.1,345.82,349.99,58334
XSD,2025-10-21,348.31,348.33,343.08,344.23,44848
XSD,2025-10-22,339.14,340.16,324.62,331.28,53400
XSD,2025-10-23,333.2,344.59,333.2,343.45,50655
XSD,2025-10-24,351.92,352.1,344.87,344.87,93020
XSD,2025-10-27,351.84,355.46,350.68,353.23,60461
XSD,2025-10-28,352.57,356.57,350.0,350.0,32808
XSD,2025-10-29,354.56,358.43,350.07,353.14,48400
