symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
XYL,2024-08-27,132.78,133.64,132.18,132.64,1459700
XYL,2024-08-28,132.98,133.82,132.55,133.03,923400
XYL,2024-08-29,133.76,135.26,133.07,133.34,713500
XYL,2024-08-30,133.63,135.37,132.88,135.07,1263100
XYL,2024-09-03,131.73,133.57,127.98,128.37,2334821
XYL,2024-09-04,127.29,129.13,125.89,126.78,1744400
XYL,2024-09-05,126.73,126.73,124.37,125.74,1108600
XYL,2024-09-06,125.84,127.49,124.31,124.44,1348200
XYL,2024-09-09,125.36,127.47,124.72,126.99,1072932
XYL,2024-09-10,127.18,127.7,126.3,127.49,797240
XYL,2024-09-11,127.4,127.78,124.17,127.54,1003115
XYL,2024-09-12,127.89,128.68,126.36,128.66,1241045
XYL,2024-09-13,129.33,129.94,128.3,128.49,995323
XYL,2024-09-16,129.63,130.77,127.79,130.41,977726
XYL,2024-09-17,130.92,132.01,129.91,130.75,993736
XYL,2024-09-18,130.89,132.43,129.44,130.48,1559247
XYL,2024-09-19,133.12,134.13,132.44,133.86,1092330
XYL,2024-09-20,133.38,133.86,131.37,132.39,2267015
XYL,2024-09-23,132.85,133.17,131.59,132.1,739528
XYL,2024-09-24,131.55,131.98,130.34,130.66,1373100
XYL,2024-09-25,131.34,132.54,130.78,131.22,971800
XYL,2024-09-26,132.49,133.08,131.61,131.73,847004
XYL,2024-09-27,132.25,133.85,131.38,132.1,691323
XYL,2024-09-30,131.45,132.67,130.31,132.61,1005651
XYL,2024-10-01,132.68,132.8,130.36,131.98,1377565
XYL,2024-10-02,131.13,132.31,130.82,131.97,886300
XYL,2024-10-03,131.69,131.69,129.62,130.68,1007812
XYL,2024-10-04,131.9,131.9,129.9,131.08,735004
XYL,2024-10-07,130.3,131.71,129.66,131.63,735606
XYL,2024-10-08,131.91,132.24,130.68,131.8,1108156
XYL,2024-10-09,132.15,134.12,131.45,133.85,989200
XYL,2024-10-10,133.02,133.56,131.69,131.77,922457
XYL,2024-10-11,132.27,134.61,131.87,134.41,812800
XYL,2024-10-14,134.72,135.04,133.69,134.78,657200
XYL,2024-10-15,135.16,135.99,134.12,134.23,899788
XYL,2024-10-16,134.39,135.51,134.3,135.0,978200
XYL,2024-10-17,135.21,136.02,132.41,132.74,1200100
XYL,2024-10-18,133.07,133.42,131.45,131.91,1018267
XYL,2024-10-21,131.52,132.24,129.97,130.15,656800
