symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
YUM,2024-12-05,135.1,135.52,133.97,134.88,939100
YUM,2024-12-06,135.31,136.31,134.17,134.39,968276
YUM,2024-12-09,134.64,135.87,134.05,135.81,1411037
YUM,2024-12-10,135.35,135.81,133.27,134.97,1406200
YUM,2024-12-11,135.26,135.79,134.55,135.28,1357400
YUM,2024-12-12,135.39,135.61,134.21,135.38,1399806
YUM,2024-12-13,135.16,135.98,133.24,133.78,1044313
YUM,2024-12-16,133.83,134.66,131.76,131.87,1660325
YUM,2024-12-17,131.27,134.26,130.86,131.56,2263599
YUM,2024-12-18,131.2,131.44,128.18,128.37,2834464
YUM,2024-12-19,128.15,129.54,127.26,127.29,1939434
YUM,2024-12-20,127.19,130.25,127.08,129.25,3212936
YUM,2024-12-23,130.11,130.79,128.83,130.71,1479176
YUM,2024-12-24,130.29,131.9,129.86,131.82,533000
YUM,2024-12-26,131.19,133.58,131.04,132.8,1040936
YUM,2024-12-27,131.96,133.26,131.13,132.05,1146300
YUM,2024-12-30,130.98,131.25,129.87,130.38,1144646
YUM,2024-12-31,130.93,131.62,130.11,131.0,1217129
YUM,2025-01-02,131.26,132.72,129.97,130.42,2609900
YUM,2025-01-03,130.51,130.85,129.26,130.3,1154344
YUM,2025-01-06,130.17,131.06,126.93,127.11,2120834
YUM,2025-01-07,127.01,128.65,125.29,125.53,2103000
YUM,2025-01-08,124.79,125.22,123.99,124.74,2025471
YUM,2025-01-10,122.86,123.66,120.29,120.35,2555033
YUM,2025-01-13,119.91,121.44,119.26,120.82,2163133
YUM,2025-01-14,121.36,122.49,121.06,121.78,1793633
YUM,2025-01-15,123.48,123.48,121.6,122.81,1729709
YUM,2025-01-16,122.73,124.73,122.43,123.27,1670400
YUM,2025-01-17,123.92,124.35,122.24,122.37,1604923
YUM,2025-01-21,121.89,123.15,121.65,122.74,2092700
YUM,2025-01-22,122.41,123.8,121.65,123.25,2498906
YUM,2025-01-23,122.79,124.35,122.56,124.02,2082434
YUM,2025-01-24,123.77,126.41,123.77,125.24,2295900
YUM,2025-01-27,125.82,128.54,125.51,127.81,2174717
YUM,2025-01-28,127.24,129.17,125.27,126.2,2423700
YUM,2025-01-29,126.74,127.68,125.94,126.13,1342800
YUM,2025-01-30,126.33,128.18,126.1,127.66,1483234
YUM,2025-01-31,126.79,128.48,126.79,127.43,1370319
YUM,2025-02-03,126.4,129.52,125.71,128.41,2351514
YUM,2025-02-04,129.16,129.48,127.78,128.38,2086805
YUM,2025-02-05,128.3,128.61,126.5,128.16,2177600
YUM,2025-02-06,135.46,141.03,134.85,140.62,5572223
YUM,2025-02-07,138.35,141.3,137.58,140.18,2694386
YUM,2025-02-10,141.52,144.71,140.62,144.67,3733642
YUM,2025-02-11,144.05,144.71,142.45,143.2,2541818
YUM,2025-02-12,142.96,143.29,140.36,143.06,2193536
YUM,2025-02-13,143.35,145.79,142.64,145.25,2093331
YUM,2025-02-14,145.54,145.79,144.12,144.43,1970800
YUM,2025-02-18,144.03,144.8,143.32,143.67,2104609
YUM,2025-02-19,143.21,145.0,142.54,144.8,1434040
YUM,2025-02-20,144.52,147.73,144.52,147.41,2351514
YUM,2025-02-21,147.23,148.05,145.59,145.94,2187646
YUM,2025-02-24,146.28,147.68,145.86,147.39,2120600
YUM,2025-02-25,147.86,151.87,147.64,151.24,2817435
YUM,2025-02-26,151.98,152.25,148.32,148.64,2112036
YUM,2025-02-27,148.69,151.41,148.48,150.8,1354200
YUM,2025-02-28,151.25,153.6,151.03,153.41,3003425
YUM,2025-03-03,154.54,155.27,153.18,153.96,1913320
YUM,2025-03-04,155.25,158.23,154.64,155.41,3969082
YUM,2025-03-05,155.41,157.34,154.59,156.36,2234300
YUM,2025-03-06,156.06,157.53,154.86,156.25,2020309
YUM,2025-03-07,156.54,160.22,156.53,159.46,3411300
YUM,2025-03-10,158.26,159.37,153.77,155.1,3000227
YUM,2025-03-11,155.41,156.0,153.0,153.74,2346973
YUM,2025-03-12,152.78,153.74,149.77,151.48,1631900
YUM,2025-03-13,151.44,152.83,150.45,150.52,1631557
YUM,2025-03-14,150.52,153.35,149.87,152.12,1251100
YUM,2025-03-17,151.42,154.35,151.32,154.16,1127049
YUM,2025-03-18,153.75,154.96,153.21,154.33,1332200
YUM,2025-03-19,154.41,155.36,153.57,154.53,1455500
YUM,2025-03-20,154.83,155.5,153.93,154.9,1412748
YUM,2025-03-21,153.99,155.2,153.13,153.79,3071809
YUM,2025-03-24,154.1,154.73,152.09,152.87,1952522
