symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
Z,2024-08-27,56.74,57.54,55.7,57.32,3226942
Z,2024-08-28,56.89,57.11,55.73,56.36,2444341
Z,2024-08-29,56.78,56.95,55.79,55.87,2375664
Z,2024-08-30,56.3,56.4,54.6,55.3,2946141
Z,2024-09-03,54.87,56.26,53.52,54.01,2962600
Z,2024-09-04,53.56,54.7,53.09,53.84,2133983
Z,2024-09-05,54.09,54.79,53.45,53.61,1758932
Z,2024-09-06,54.15,55.42,52.86,53.32,2531100
Z,2024-09-09,53.44,54.44,53.03,54.08,2202712
Z,2024-09-10,54.23,56.26,53.68,56.18,3145400
Z,2024-09-11,55.68,56.29,53.9,55.96,2681700
Z,2024-09-12,56.11,56.82,55.46,56.64,2144538
Z,2024-09-13,57.07,60.18,56.82,59.74,5744400
Z,2024-09-16,61.06,63.05,60.36,62.59,5606235
Z,2024-09-17,63.33,64.24,61.92,62.81,4527449
Z,2024-09-18,63.09,67.6,61.92,65.11,7549800
Z,2024-09-19,66.82,68.73,66.15,67.84,4972329
Z,2024-09-20,68.45,68.5,66.2,67.09,5320500
Z,2024-09-23,67.93,67.93,65.35,65.52,2979900
Z,2024-09-24,65.49,67.34,65.24,67.26,2153149
Z,2024-09-25,67.03,67.44,65.75,66.32,2801400
Z,2024-09-26,67.22,67.26,65.34,65.53,3153300
Z,2024-09-27,66.46,66.8,64.84,65.48,1776840
Z,2024-09-30,65.1,66.01,63.26,63.85,3403112
Z,2024-10-01,64.11,65.3,63.0,64.65,2278700
Z,2024-10-02,64.27,64.42,63.02,63.56,2069000
Z,2024-10-03,63.01,63.84,62.43,63.77,2534942
Z,2024-10-04,63.97,64.99,62.21,62.78,3416923
Z,2024-10-07,62.28,62.4,60.04,60.76,3462600
Z,2024-10-08,60.93,63.45,60.93,62.26,2730032
Z,2024-10-09,61.83,62.42,59.83,60.42,7637600
Z,2024-10-10,59.38,60.91,59.19,60.6,2557660
Z,2024-10-11,60.49,62.81,60.49,62.75,2468349
Z,2024-10-14,62.79,63.09,61.9,62.78,1824471
Z,2024-10-15,63.05,64.19,62.47,63.38,3645157
Z,2024-10-16,63.76,64.34,63.16,63.59,1976648
Z,2024-10-17,62.96,63.36,61.12,62.63,2559912
Z,2024-10-18,62.6,64.1,61.82,63.71,2032841
Z,2024-10-21,63.52,64.82,61.49,62.94,2437301
Z,2024-10-22,63.0,64.03,60.57,60.67,2474400
Z,2024-10-23,60.57,61.48,59.5,59.56,2584700
Z,2024-10-24,59.81,60.96,59.54,59.79,1808445
Z,2024-10-25,60.34,61.1,59.55,59.65,2805545
