date,sector,exchange,averageChange
2026-05-01,Basic Materials,NASDAQ,0.7619678131841612
2026-04-30,Basic Materials,NASDAQ,0.05030041273037522
2026-04-29,Basic Materials,NASDAQ,-0.8132456798068177
2026-04-28,Basic Materials,NASDAQ,-0.4541862986227829
2026-04-27,Basic Materials,NASDAQ,0.0015536969696361425
2026-04-24,Basic Materials,NASDAQ,0.5642898493485982
2026-04-23,Basic Materials,NASDAQ,1.4133326328326756
2026-04-22,Basic Materials,NASDAQ,-0.3097626121695396
2026-04-21,Basic Materials,NASDAQ,-0.1602508547125847
2026-04-20,Basic Materials,NASDAQ,0.9130159452193309
2026-04-17,Basic Materials,NASDAQ,-0.5018472864348422
2026-04-16,Basic Materials,NASDAQ,0.37791331964847075
2026-04-15,Basic Materials,NASDAQ,0.12581709253218776
2026-04-14,Basic Materials,NASDAQ,-0.1355975941764065
2026-04-13,Basic Materials,NASDAQ,1.2009801240753015
2026-04-10,Basic Materials,NASDAQ,-0.5101518234769231
2026-04-09,Basic Materials,NASDAQ,0.7363945366418267
2026-04-08,Basic Materials,NASDAQ,2.2758500901164602
2026-04-07,Basic Materials,NASDAQ,-0.8821245350250972
2026-04-06,Basic Materials,NASDAQ,-0.749266463031184
2026-04-03,Basic Materials,NASDAQ,1.0611471908274162
2026-04-02,Basic Materials,NASDAQ,1.0611471633497516
2026-04-01,Basic Materials,NASDAQ,0.34223976910705556
2026-03-31,Basic Materials,NASDAQ,0.36251643096061326
2026-03-30,Basic Materials,NASDAQ,0.643006730224327
2026-03-27,Basic Materials,NASDAQ,-1.0552339220926799
2026-03-26,Basic Materials,NASDAQ,0.7609482855813532
2026-03-25,Basic Materials,NASDAQ,1.7138240112363645
2026-03-24,Basic Materials,NASDAQ,1.4225440995830452
2026-03-23,Basic Materials,NASDAQ,-1.9226494805156036
2026-03-20,Basic Materials,NASDAQ,-1.2454211563743045
2026-03-19,Basic Materials,NASDAQ,0.27668093264869853
2026-03-18,Basic Materials,NASDAQ,-0.6932643699235297
2026-03-17,Basic Materials,NASDAQ,-0.7050669740328863
2026-03-16,Basic Materials,NASDAQ,0.4052174541218978
2026-03-13,Basic Materials,NASDAQ,-1.0703360264134765
2026-03-12,Basic Materials,NASDAQ,1.5815211997313172
2026-03-11,Basic Materials,NASDAQ,0.8333764979806313
2026-03-10,Basic Materials,NASDAQ,-0.5164308937921414
2026-03-09,Basic Materials,NASDAQ,0.6011784756501548
2026-03-06,Basic Materials,NASDAQ,-0.5244082569520803
2026-03-05,Basic Materials,NASDAQ,-1.1641303386562774
2026-03-04,Basic Materials,NASDAQ,-0.6148159450732993
2026-03-03,Basic Materials,NASDAQ,0.22832982585985206
2026-03-02,Basic Materials,NASDAQ,0.5931265765494853
2026-02-27,Basic Materials,NASDAQ,1.8405547621226814
